Disease	Disease_name	Orphan	Predicted_MGI	MGI_name	MGI_entrez	Genetic_location	Human	score
OMIM:173540	PLATELET GROUPS--Pl(E) SYSTEM	Yes	MGI:5006975					0.65
OMIM:173540	PLATELET GROUPS--Pl(E) SYSTEM	Yes	MGI:1346091	fibulin 5	23876	Chr12 51.29 cM		0.62
OMIM:173540	PLATELET GROUPS--Pl(E) SYSTEM	Yes	MGI:88587	cytochrome P450, family 19, subfamily a, polypeptide 1	13075	Chr9 29.49 cM		0.57
OMIM:173540	PLATELET GROUPS--Pl(E) SYSTEM	Yes	MGI:109583	phosphatase and tensin homolog	19211	Chr19 28.14 cM		0.53
OMIM:173540	PLATELET GROUPS--Pl(E) SYSTEM	Yes	MGI:2675928					0.5
OMIM:173540	PLATELET GROUPS--Pl(E) SYSTEM	Yes	MGI:2655574	osteopetrosis associated transmembrane protein 1	14628	Chr10 22.89 cM		0.38
OMIM:173540	PLATELET GROUPS--Pl(E) SYSTEM	Yes	MGI:1347061	ATP binding cassette subfamily G member 2 (Junior blood group)	26357	Chr6 27.82 cM		0.35
OMIM:173650	Kindler syndrome	No	MGI:109484	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide	22631	Chr15 14.56 cM		0.76
OMIM:173650	Kindler syndrome	No	MGI:2450166	Rho GTPase activating protein 32	330914	Chr9 17.48 cM		0.7
OMIM:173650	Kindler syndrome	No	MGI:2151070	oligophrenin 1	94190	ChrX 42.94 cM		0.64
OMIM:173650	Kindler syndrome	No	MGI:5451191					0.61
OMIM:173650	Kindler syndrome	No	MGI:2443583	fermitin family member 1	241639	Chr2 64.8 cM		0.6
OMIM:173650	Kindler syndrome	No	MGI:5788417					0.56
OMIM:173650	Kindler syndrome	No	MGI:107717	myosin, heavy polypeptide 9, non-muscle	17886	Chr15 36.81 cM		0.55
OMIM:173650	Kindler syndrome	No	MGI:96690	keratin 16	16666	Chr11 63.44 cM		0.37
OMIM:173800	POLAND SYNDROME	Yes	MGI:891978	phytanoyl-CoA hydroxylase	16922	Chr2 3.06 cM		0.8
OMIM:173800	POLAND SYNDROME	Yes	MGI:1341722	potassium voltage-gated channel, subfamily H (eag-related), member 2	16511	Chr5 10.94 cM		0.78
OMIM:173800	POLAND SYNDROME	Yes	MGI:2384875	CDK5 regulatory subunit associated protein 2	214444	Chr4 35.92 cM		0.76
OMIM:173800	POLAND SYNDROME	Yes	MGI:2685418	predicted gene 572	230909	Chr4 78.82 cM		0.68
OMIM:173800	POLAND SYNDROME	Yes	MGI:1338074	inhibitor of kappaB kinase gamma	16151	ChrX 38 cM		0.67
OMIM:173800	POLAND SYNDROME	Yes	MGI:2682319	lysine (K)-specific methyltransferase 2D	381022	Chr15 54.8 cM		0.64
OMIM:173800	POLAND SYNDROME	Yes	MGI:98533					0.6
OMIM:173800	POLAND SYNDROME	Yes	MGI:5313497					0.59
OMIM:173800	POLAND SYNDROME	Yes	MGI:2138968	CLP1, cleavage and polyadenylation factor I subunit	98985	Chr2 49.45 cM		0.46
OMIM:173900	polycystic kidney disease 1	No	MGI:107689	kinesin family member 3A	16568	Chr11 31.97 cM		0.81
OMIM:173900	polycystic kidney disease 1	No	MGI:97548	phosphofructokinase, muscle	18642	Chr15 54.09 cM		0.72
OMIM:173900	polycystic kidney disease 1	No	MGI:1891209	epidermal growth factor-containing fibulin-like extracellular matrix protein 2	58859	Chr19 4.33 cM		0.66
OMIM:173900	polycystic kidney disease 1	No	MGI:1277961	plectin	18810	Chr15 35.48 cM		0.65
OMIM:173900	polycystic kidney disease 1	No	MGI:95636	galactosylceramidase	14420	Chr12 49.83 cM		0.6
OMIM:173900	polycystic kidney disease 1	No	MGI:5519082					0.56
OMIM:173900	polycystic kidney disease 1	No	MGI:97603	polycystin 1, transient receptor poteintial channel interacting	18763	Chr17 12.4 cM		0.55
OMIM:173900	polycystic kidney disease 1	No	MGI:1330223	3'-phosphoadenosine 5'-phosphosulfate synthase 2	23972	Chr19 27.46 cM		0.54
OMIM:173900	polycystic kidney disease 1	No	MGI:96434	insulin-like growth factor 2	16002	Chr7 87.99 cM		0.5
OMIM:173900	polycystic kidney disease 1	No	MGI:5698355					0.43
OMIM:173900	polycystic kidney disease 1	No	MGI:5908014					0.42
OMIM:174050	polycystic liver disease	No	MGI:107877	protein kinase C substrate 80K-H	19089	Chr9 8.04 cM		0.81
OMIM:174050	polycystic liver disease	No	MGI:4867507					0.79
OMIM:174050	polycystic liver disease	No	MGI:88447	collagen, type XI, alpha 2	12815	Chr17 17.98 cM		0.72
OMIM:174050	polycystic liver disease	No	MGI:95414	excision repair cross-complementing rodent repair deficiency, complementation group 3	13872	Chr18 17.97 cM		0.61
OMIM:174050	polycystic liver disease	No	MGI:95661	GATA binding protein 1	14460	ChrX 3.59 cM		0.54
OMIM:174050	polycystic liver disease	No	MGI:3841152					0.46
OMIM:174050	polycystic liver disease	No	MGI:96990	major intrinsic protein of lens fiber	17339	Chr10 76.49 cM		0.37
OMIM:174050	polycystic liver disease	No	MGI:5800482					0.36
OMIM:174400	POLYDACTYLY, PREAXIAL I	Yes	MGI:5141745					0.83
OMIM:174400	POLYDACTYLY, PREAXIAL I	Yes	MGI:1097716	aristaless related homeobox	11878	ChrX 41.05 cM		0.77
OMIM:174400	POLYDACTYLY, PREAXIAL I	Yes	MGI:2685397	RING CCCH (C3H) domains 1	381305	Chr1 69.75 cM		0.76
OMIM:174400	POLYDACTYLY, PREAXIAL I	Yes	MGI:105923	endothelin receptor type A	13617	Chr8 36.63 cM		0.73
OMIM:174400	POLYDACTYLY, PREAXIAL I	Yes	MGI:97603	polycystin 1, transient receptor poteintial channel interacting	18763	Chr17 12.4 cM		0.67
OMIM:174400	POLYDACTYLY, PREAXIAL I	Yes	MGI:3702641					0.65
OMIM:174400	POLYDACTYLY, PREAXIAL I	Yes	MGI:96533	Indian hedgehog	16147	Chr1 38.55 cM		0.52
OMIM:174400	POLYDACTYLY, PREAXIAL I	Yes	MGI:1929878	SPARC related  modular calcium binding 1	64075	Chr12 37.28 cM		0.43
OMIM:174600	POLYDACTYLY, PREAXIAL III	Yes	MGI:97370	ectonucleotide pyrophosphatase/phosphodiesterase 1	18605	Chr10 12.26 cM		0.74
OMIM:174600	POLYDACTYLY, PREAXIAL III	Yes	MGI:5429771					0.71
OMIM:174600	POLYDACTYLY, PREAXIAL III	Yes	MGI:102570	Norrie disease (pseudoglioma) (human)	17986	ChrX 12.07 cM		0.62
OMIM:174600	POLYDACTYLY, PREAXIAL III	Yes	MGI:88451	collagen, type XVIII, alpha 1	12822	Chr10 39.72 cM		0.55
OMIM:174600	POLYDACTYLY, PREAXIAL III	Yes	MGI:1098239	kinesin family member 7	16576	Chr7 45.09 cM		0.48
OMIM:174600	POLYDACTYLY, PREAXIAL III	Yes	MGI:2443639	coiled-coil domain containing 66	320234	Chr14 16.51 cM		0.46
OMIM:174600	POLYDACTYLY, PREAXIAL III	Yes	MGI:101884	peroxisome proliferator activator receptor delta	19015	Chr17 14.64 cM		0.36
OMIM:174770	ACTINIC PRURIGO	Yes	MGI:101941	E2F transcription factor 1	13555	Chr2 76.79 cM		0.8
OMIM:174770	ACTINIC PRURIGO	Yes	MGI:1342270	LARGE xylosyl- and glucuronyltransferase 1	16795	Chr8 35.08 cM		0.79
OMIM:174770	ACTINIC PRURIGO	Yes	MGI:97569	ATP-binding cassette, sub-family B (MDR/TAP), member 4	18670	Chr5 3.43 cM		0.64
OMIM:174770	ACTINIC PRURIGO	Yes	MGI:95729	GLI-Kruppel family member GLI3	14634	Chr13 5.43 cM		0.58
OMIM:174770	ACTINIC PRURIGO	Yes	MGI:97454	oculocutaneous albinism II	18431	Chr7 33.44 cM		0.54
OMIM:174770	ACTINIC PRURIGO	Yes	MGI:5883022					0.53
OMIM:174770	ACTINIC PRURIGO	Yes	MGI:1888921	prolyl 3-hydroxylase 1	56401	Chr4 55.34 cM		0.41
OMIM:174770	ACTINIC PRURIGO	Yes	MGI:1339759	colony stimulating factor 2 receptor, beta, low-affinity (granulocyte-macrophage)	12983	Chr15 37.36 cM		0.35
OMIM:174800	McCune Albright syndrome	No	MGI:96613	integrin beta 4	192897	Chr11 80.91 cM		0.82
OMIM:174800	McCune Albright syndrome	No	MGI:5705745					0.81
OMIM:174800	McCune Albright syndrome	No	MGI:5883022					0.79
OMIM:174800	McCune Albright syndrome	No	MGI:97902	ret proto-oncogene	19713	Chr6 55.86 cM		0.75
OMIM:174800	McCune Albright syndrome	No	MGI:892968	tachykinin receptor 3	21338	Chr3 62.47 cM		0.74
OMIM:174800	McCune Albright syndrome	No	MGI:5883013					0.71
OMIM:174800	McCune Albright syndrome	No	MGI:103157	deoxyribonuclease I	13419	Chr16 2.37 cM		0.69
OMIM:174800	McCune Albright syndrome	No	MGI:88385	complement component factor h	12628	Chr1 61.62 cM		0.67
OMIM:174800	McCune Albright syndrome	No	MGI:4367597					0.63
OMIM:174800	McCune Albright syndrome	No	MGI:1918961	MUS81 structure-specific endonuclease subunit	71711	Chr19 4.34 cM		0.59
OMIM:174800	McCune Albright syndrome	No	MGI:88272					0.43
OMIM:174800	McCune Albright syndrome	No	MGI:98488	solute carrier family 6 (neurotransmitter transporter, taurine), member 6	21366	Chr6 40.73 cM		0.36
OMIM:174900	juvenile polyposis syndrome	No	MGI:1338938	bone morphogenetic protein receptor, type 1A	12166	Chr14 20.81 cM		0.79
OMIM:174900	juvenile polyposis syndrome	No	MGI:5473819					0.75
OMIM:174900	juvenile polyposis syndrome	No	MGI:894293	SMAD family member 4	17128	Chr18 49.51 cM		0.72
OMIM:174900	juvenile polyposis syndrome	No	MGI:1277968	caveolae associated 1	19285	Chr11 63.95 cM		0.64
OMIM:174900	juvenile polyposis syndrome	No	MGI:2682319	lysine (K)-specific methyltransferase 2D	381022	Chr15 54.8 cM		0.6
OMIM:174900	juvenile polyposis syndrome	No	MGI:1926369					0.57
OMIM:174900	juvenile polyposis syndrome	No	MGI:102722	pericentrin (kendrin)	18541			0.53
OMIM:174900	juvenile polyposis syndrome	No	MGI:1929699	ADP-ribosylation factor-like 3	56350	Chr19 38.94 cM		0.43
OMIM:174900	juvenile polyposis syndrome	No	MGI:97454	oculocutaneous albinism II	18431	Chr7 33.44 cM		0.4
OMIM:174900	juvenile polyposis syndrome	No	MGI:1351617	ATP-binding cassette, sub-family A (ABC1), member 3	27410	Chr17 12.38 cM		0.39
OMIM:174900	juvenile polyposis syndrome	No	MGI:99602	aggrecan	11595	Chr7 44.88 cM		0.37
OMIM:175020	POLYPOSIS, GASTRIC	Yes	MGI:95523	fibroblast growth factor receptor 2	14183	Chr7 73.19 cM		0.57
OMIM:175020	POLYPOSIS, GASTRIC	Yes	MGI:1891428	protocadherin 15	11994	Chr10 37.43 cM		0.55
OMIM:175020	POLYPOSIS, GASTRIC	Yes	MGI:97902	ret proto-oncogene	19713	Chr6 55.86 cM		0.49
OMIM:175020	POLYPOSIS, GASTRIC	Yes	MGI:97311	nuclear factor I/X	18032	Chr8 41.02 cM		0.43
OMIM:175020	POLYPOSIS, GASTRIC	Yes	MGI:2153839	HPS3, biogenesis of lysosomal organelles complex 2 subunit 1	12807	Chr3 6.12 cM		0.42
OMIM:175020	POLYPOSIS, GASTRIC	Yes	MGI:3696469					0.41
OMIM:175020	POLYPOSIS, GASTRIC	Yes	MGI:3793484					0.39
OMIM:175020	POLYPOSIS, GASTRIC	Yes	MGI:104663	leptin	16846	Chr6 12.3 cM		0.35
OMIM:175100	familial adenomatous polyposis	No	MGI:105386	dihydrolipoamide branched chain transacylase E2	13171	Chr3 50.37 cM		0.84
OMIM:175100	familial adenomatous polyposis	No	MGI:109514	cystatin B	13014	Chr10 39.72 cM		0.77
OMIM:175100	familial adenomatous polyposis	No	MGI:2154470					0.76
OMIM:175100	familial adenomatous polyposis	No	MGI:1341870	serine/threonine kinase 11	20869	Chr10 39.72 cM		0.74
OMIM:175100	familial adenomatous polyposis	No	MGI:5286584					0.65
OMIM:175100	familial adenomatous polyposis	No	MGI:1926369					0.61
OMIM:175100	familial adenomatous polyposis	No	MGI:96794	lamin A	16905	Chr3 38.84 cM		0.6
OMIM:175100	familial adenomatous polyposis	No	MGI:107799	growth arrest and DNA-damage-inducible 45 alpha	13197	Chr6 30.72 cM		0.59
OMIM:175100	familial adenomatous polyposis	No	MGI:3688879					0.51
OMIM:175100	familial adenomatous polyposis	No	MGI:88039	adenomatosis polyposis coli	11789	Chr18 18.53 cM		0.44
OMIM:175200	Peutz-Jeghers syndrome	No	MGI:1920831	serine/threonine kinase 36	269209	Chr1 38.54 cM		0.84
OMIM:175200	Peutz-Jeghers syndrome	No	MGI:1933331	elongation of very long chain fatty acids (FEN1/Elo2, SUR4/Elo3, yeast)-like 4	83603	Chr9 45.6 cM		0.83
OMIM:175200	Peutz-Jeghers syndrome	No	MGI:1925255	RRN3 RNA polymerase I transcription factor homolog (yeast)	106298	Chr16 9.59 cM		0.73
OMIM:175200	Peutz-Jeghers syndrome	No	MGI:103178	vascular endothelial growth factor A	22339	Chr17 22.79 cM		0.67
OMIM:175200	Peutz-Jeghers syndrome	No	MGI:95709	growth hormone releasing hormone	14601	Chr2 78.25 cM		0.65
OMIM:175200	Peutz-Jeghers syndrome	No	MGI:1341870	serine/threonine kinase 11	20869	Chr10 39.72 cM		0.64
OMIM:175200	Peutz-Jeghers syndrome	No	MGI:106613	dishevelled segment polarity protein 2	13543	Chr11 42.96 cM		0.62
OMIM:175200	Peutz-Jeghers syndrome	No	MGI:107734	adaptor-related protein complex 3, delta 1 subunit	11776	Chr10 39.72 cM		0.44
OMIM:175690	POLYSYNDACTYLY, CROSSED	Yes	MGI:1858416	serine/threonine kinase 39	53416	Chr2 39.53 cM		0.7
OMIM:175690	POLYSYNDACTYLY, CROSSED	Yes	MGI:97239	methylmalonyl-Coenzyme A mutase	17850	Chr17 19.55 cM		0.61
OMIM:175690	POLYSYNDACTYLY, CROSSED	Yes	MGI:2675928					0.59
OMIM:175690	POLYSYNDACTYLY, CROSSED	Yes	MGI:96533	Indian hedgehog	16147	Chr1 38.55 cM		0.52
OMIM:175690	POLYSYNDACTYLY, CROSSED	Yes	MGI:97380	neurotrophin 3	18205	Chr6 60.45 cM		0.48
OMIM:175690	POLYSYNDACTYLY, CROSSED	Yes	MGI:97372	natriuretic peptide receptor 2	230103	Chr4 23.05 cM		0.46
OMIM:175690	POLYSYNDACTYLY, CROSSED	Yes	MGI:1355296	parkin RBR E3 ubiquitin protein ligase	50873	Chr17 7.8 cM		0.38
OMIM:175690	POLYSYNDACTYLY, CROSSED	Yes	MGI:88385	complement component factor h	12628	Chr1 61.62 cM		0.35
OMIM:175700	Greig cephalopolysyndactyly syndrome	No	MGI:97849	recombination activating gene 2	19374	Chr2 53.87 cM		0.79
OMIM:175700	Greig cephalopolysyndactyly syndrome	No	MGI:108083	potassium voltage-gated channel, subfamily Q, member 1	16535	Chr7 88.12 cM		0.77
OMIM:175700	Greig cephalopolysyndactyly syndrome	No	MGI:88024	ankyrin 1, erythroid	11733	Chr8 11.42 cM		0.67
OMIM:175700	Greig cephalopolysyndactyly syndrome	No	MGI:2180307	HPS5, biogenesis of lysosomal organelles complex 2 subunit 2	246694	Chr7 30.56 cM		0.61
OMIM:175700	Greig cephalopolysyndactyly syndrome	No	MGI:3045266	FANCD2/FANCI-associated nuclease 1	330554	Chr7 34.64 cM		0.45
OMIM:175700	Greig cephalopolysyndactyly syndrome	No	MGI:95729	GLI-Kruppel family member GLI3	14634	Chr13 5.43 cM		0.43
OMIM:175700	Greig cephalopolysyndactyly syndrome	No	MGI:5444500					0.41
OMIM:175700	Greig cephalopolysyndactyly syndrome	No	MGI:1101355	latent transforming growth factor beta binding protein 3	16998	Chr19 4.34 cM		0.4
OMIM:175700	Greig cephalopolysyndactyly syndrome	No	MGI:1927578	sphingomyelin phosphodiesterase 3, neutral	58994	Chr8 53.12 cM		0.38
OMIM:175700	Greig cephalopolysyndactyly syndrome	No	MGI:4357685					0.35
OMIM:175780	porencephaly	No	MGI:88454	collagen, type IV, alpha 1	12826	Chr8 5.53 cM		0.81
OMIM:175780	porencephaly	No	MGI:1346029	solute carrier family 26, member 4	23985	Chr12 13.53 cM		0.76
OMIM:175780	porencephaly	No	MGI:98731	transglutaminase 2, C polypeptide	21817	Chr2 78.72 cM		0.75
OMIM:175780	porencephaly	No	MGI:1277959	discs large MAGUK scaffold protein 4	13385	Chr11 42.96 cM		0.67
OMIM:175780	porencephaly	No	MGI:4889197					0.66
OMIM:175780	porencephaly	No	MGI:4438487					0.65
OMIM:175780	porencephaly	No	MGI:2142763	cytochrome P450, family 4, subfamily v, polypeptide 3	102294	Chr8 25.17 cM		0.63
OMIM:175780	porencephaly	No	MGI:94872	decorin	13179	Chr10 50.27 cM		0.6
OMIM:175780	porencephaly	No	MGI:5462247					0.45
OMIM:175850	POROKERATOSIS 2, PALMAR, PLANTAR, AND DISSEMINATED TYPE; POROK2	Yes	MGI:1346877	mitogen-activated protein kinase kinase kinase 7	26409	Chr4 13.91 cM		0.7
OMIM:175850	POROKERATOSIS 2, PALMAR, PLANTAR, AND DISSEMINATED TYPE; POROK2	Yes	MGI:1351636	serine racemase	27364	Chr11 45.76 cM		0.68
OMIM:175850	POROKERATOSIS 2, PALMAR, PLANTAR, AND DISSEMINATED TYPE; POROK2	Yes	MGI:2450855					0.64
OMIM:175850	POROKERATOSIS 2, PALMAR, PLANTAR, AND DISSEMINATED TYPE; POROK2	Yes	MGI:1338010	hypermethylated in cancer 1	15248	Chr11 45.76 cM		0.5
OMIM:175850	POROKERATOSIS 2, PALMAR, PLANTAR, AND DISSEMINATED TYPE; POROK2	Yes	MGI:3693207					0.49
OMIM:175850	POROKERATOSIS 2, PALMAR, PLANTAR, AND DISSEMINATED TYPE; POROK2	Yes	MGI:1095407	bone morphogenetic protein receptor, type II (serine/threonine kinase)	12168	Chr1 30.44 cM		0.42
OMIM:175860	PALMOPLANTAR KERATODERMA, PUNCTATE TYPE II; PPKP2	Yes	MGI:5637740					0.8
OMIM:175860	PALMOPLANTAR KERATODERMA, PUNCTATE TYPE II; PPKP2	Yes	MGI:98743	thyroid hormone receptor beta	21834	Chr14 7.08 cM		0.78
OMIM:175860	PALMOPLANTAR KERATODERMA, PUNCTATE TYPE II; PPKP2	Yes	MGI:98914	uroplakin 3A	22270	Chr15 40.25 cM		0.7
OMIM:175860	PALMOPLANTAR KERATODERMA, PUNCTATE TYPE II; PPKP2	Yes	MGI:5451191					0.66
OMIM:175860	PALMOPLANTAR KERATODERMA, PUNCTATE TYPE II; PPKP2	Yes	MGI:104726	complexin 2	12890	Chr13 28.59 cM		0.64
OMIM:175860	PALMOPLANTAR KERATODERMA, PUNCTATE TYPE II; PPKP2	Yes	MGI:99511	protein tyrosine phosphatase, non-receptor type 11	19247	Chr5 61.72 cM		0.5
OMIM:175860	PALMOPLANTAR KERATODERMA, PUNCTATE TYPE II; PPKP2	Yes	MGI:96398	inhibitor of DNA binding 3	15903	Chr4 68.34 cM		0.47
OMIM:175860	PALMOPLANTAR KERATODERMA, PUNCTATE TYPE II; PPKP2	Yes	MGI:3813494					0.46
OMIM:175860	PALMOPLANTAR KERATODERMA, PUNCTATE TYPE II; PPKP2	Yes	MGI:97138	MpV17 mitochondrial inner membrane protein	17527	Chr5 17.12 cM		0.37
OMIM:176000	acute intermittent porphyria	No	MGI:96112	hydroxymethylbilane synthase	15288	Chr9 24.84 cM		0.79
OMIM:176000	acute intermittent porphyria	No	MGI:2385906	SPG7, paraplegin matrix AAA peptidase subunit	234847	Chr8 72.04 cM		0.66
OMIM:176000	acute intermittent porphyria	No	MGI:1924487	coiled-coil and C2 domain containing 2A	231214	Chr5 23.78 cM		0.65
OMIM:176000	acute intermittent porphyria	No	MGI:2143585	FIG4 phosphoinositide 5-phosphatase	103199	Chr10 22.08 cM		0.6
OMIM:176000	acute intermittent porphyria	No	MGI:97350	NK2 homeobox 5	18091	Chr17 13.6 cM		0.55
OMIM:176000	acute intermittent porphyria	No	MGI:3790747					0.46
OMIM:176000	acute intermittent porphyria	No	MGI:5308011					0.42
OMIM:176000	acute intermittent porphyria	No	MGI:4418710					0.39
OMIM:176000	acute intermittent porphyria	No	MGI:96794	lamin A	16905	Chr3 38.84 cM		0.36
OMIM:176200	variegate porphyria	No	MGI:96418	iduronidase, alpha-L	15932	Chr5 53.24 cM		0.83
OMIM:176200	variegate porphyria	No	MGI:104968	protoporphyrinogen oxidase	19044	Chr1 79.3 cM		0.81
OMIM:176200	variegate porphyria	No	MGI:104856	RAR-related orphan receptor gamma	19885	Chr3 40.56 cM		0.74
OMIM:176200	variegate porphyria	No	MGI:3763893					0.66
OMIM:176200	variegate porphyria	No	MGI:4417911					0.51
OMIM:176200	variegate porphyria	No	MGI:1315205	slit guidance ligand 2	20563	Chr5 26.05 cM		0.44
OMIM:176200	variegate porphyria	No	MGI:97372	natriuretic peptide receptor 2	230103	Chr4 23.05 cM		0.43
OMIM:176200	variegate porphyria	No	MGI:4367785					0.4
OMIM:176270	Prader-Willi syndrome	No	MGI:5523457					0.84
OMIM:176270	Prader-Willi syndrome	No	MGI:5578130					0.79
OMIM:176270	Prader-Willi syndrome	No	MGI:103975					0.78
OMIM:176270	Prader-Willi syndrome	No	MGI:103976					0.74
OMIM:176270	Prader-Willi syndrome	No	MGI:4356429					0.73
OMIM:176270	Prader-Willi syndrome	No	MGI:1277171	doublecortin	13193	ChrX 64.89 cM		0.69
OMIM:176270	Prader-Willi syndrome	No	MGI:1202386	growth arrest specific 8	104346	Chr8 72.1 cM		0.68
OMIM:176270	Prader-Willi syndrome	No	MGI:95490	fibrillin 2	14119	Chr18 32.15 cM		0.64
OMIM:176270	Prader-Willi syndrome	No	MGI:97486	paired box 2	18504	Chr19 38.09 cM		0.6
OMIM:176270	Prader-Willi syndrome	No	MGI:96281	5-hydroxytryptamine (serotonin) receptor 2C	15560	ChrX 68.46 cM		0.59
OMIM:176270	Prader-Willi syndrome	No	MGI:97290	necdin	17984	Chr7 34.36 cM		0.54
OMIM:176270	Prader-Willi syndrome	No	MGI:96646	jun proto-oncogene	16476	Chr4 43.34 cM		0.51
OMIM:176270	Prader-Willi syndrome	No	MGI:3769683					0.49
OMIM:176270	Prader-Willi syndrome	No	MGI:1891407					0.48
OMIM:176270	Prader-Willi syndrome	No	MGI:1338803	autoimmune regulator (autoimmune polyendocrinopathy candidiasis ectodermal dystrophy)	11634	Chr10 39.72 cM		0.43
OMIM:176270	Prader-Willi syndrome	No	MGI:98347	small nuclear ribonucleoprotein N	20646	Chr7 34.04 cM		0.42
OMIM:176500	ITM2B-related cerebral amyloid angiopathy 1	No	MGI:96909	avian musculoaponeurotic fibrosarcoma oncogene homolog	17132	Chr8 62.61 cM		0.84
OMIM:176500	ITM2B-related cerebral amyloid angiopathy 1	No	MGI:103291	retinoic acid induced 1	19377	Chr11 37.81 cM		0.83
OMIM:176500	ITM2B-related cerebral amyloid angiopathy 1	No	MGI:95707	growth hormone	14599	Chr11 68.89 cM		0.82
OMIM:176500	ITM2B-related cerebral amyloid angiopathy 1	No	MGI:1346349	SH3-domain binding protein 2	24055	Chr5 17.89 cM		0.81
OMIM:176500	ITM2B-related cerebral amyloid angiopathy 1	No	MGI:107471	notch 4	18132	Chr17 18.15 cM		0.8
OMIM:176500	ITM2B-related cerebral amyloid angiopathy 1	No	MGI:88385	complement component factor h	12628	Chr1 61.62 cM		0.79
OMIM:176500	ITM2B-related cerebral amyloid angiopathy 1	No	MGI:3763888					0.78
OMIM:176500	ITM2B-related cerebral amyloid angiopathy 1	No	MGI:3040306					0.77
OMIM:176500	ITM2B-related cerebral amyloid angiopathy 1	No	MGI:102949	forkhead box N1	15218	Chr11 46.74 cM		0.76
OMIM:176500	ITM2B-related cerebral amyloid angiopathy 1	No	MGI:99402	adenosine A2a receptor	11540	Chr10 38.52 cM		0.75
OMIM:176500	ITM2B-related cerebral amyloid angiopathy 1	No	MGI:5644301					0.73
OMIM:176500	ITM2B-related cerebral amyloid angiopathy 1	No	MGI:2153463	relaxin/insulin-like family peptide receptor 2	140498	Chr5 89.23 cM		0.72
OMIM:176500	ITM2B-related cerebral amyloid angiopathy 1	No	MGI:1345138	sprouty RTK signaling antagonist 2	24064	Chr14 56.16 cM		0.69
OMIM:176500	ITM2B-related cerebral amyloid angiopathy 1	No	MGI:2388307					0.67
OMIM:176500	ITM2B-related cerebral amyloid angiopathy 1	No	MGI:96646	jun proto-oncogene	16476	Chr4 43.34 cM		0.65
OMIM:176500	ITM2B-related cerebral amyloid angiopathy 1	No	MGI:3768406					0.64
OMIM:176500	ITM2B-related cerebral amyloid angiopathy 1	No	MGI:107940	enhancer of zeste 2 polycomb repressive complex 2 subunit	14056	Chr6 22.92 cM		0.63
OMIM:176500	ITM2B-related cerebral amyloid angiopathy 1	No	MGI:98834	transformation related protein 53	22059	Chr11 42.83 cM		0.62
OMIM:176500	ITM2B-related cerebral amyloid angiopathy 1	No	MGI:2685418	predicted gene 572	230909	Chr4 78.82 cM		0.6
OMIM:176500	ITM2B-related cerebral amyloid angiopathy 1	No	MGI:98533					0.58
OMIM:176500	ITM2B-related cerebral amyloid angiopathy 1	No	MGI:97611	plasminogen activator, urokinase	18792	Chr14 11.53 cM		0.57
OMIM:176500	ITM2B-related cerebral amyloid angiopathy 1	No	MGI:102548	tuberous sclerosis 2	22084	Chr17 12.41 cM		0.55
OMIM:176500	ITM2B-related cerebral amyloid angiopathy 1	No	MGI:105043	aryl-hydrocarbon receptor	11622	Chr12 15.78 cM		0.54
OMIM:176500	ITM2B-related cerebral amyloid angiopathy 1	No	MGI:3513809					0.53
OMIM:176500	ITM2B-related cerebral amyloid angiopathy 1	No	MGI:1915541	mitochondrial tRNA translation optimization 1	68291	Chr9 43.65 cM		0.52
OMIM:176500	ITM2B-related cerebral amyloid angiopathy 1	No	MGI:4459071					0.49
OMIM:176500	ITM2B-related cerebral amyloid angiopathy 1	No	MGI:95720	gap junction protein, beta 2	14619	Chr14 30.1 cM		0.48
OMIM:176500	ITM2B-related cerebral amyloid angiopathy 1	No	MGI:1919638	receptor-interacting serine-threonine kinase 4	72388	Chr16 57.63 cM		0.47
OMIM:176500	ITM2B-related cerebral amyloid angiopathy 1	No	MGI:104723	fibroblast growth factor 9	14180	Chr14 30.51 cM		0.45
OMIM:176500	ITM2B-related cerebral amyloid angiopathy 1	No	MGI:1919638	receptor-interacting serine-threonine kinase 4	72388	Chr16 57.63 cM		0.44
OMIM:176500	ITM2B-related cerebral amyloid angiopathy 1	No	MGI:5287242					0.43
OMIM:176500	ITM2B-related cerebral amyloid angiopathy 1	No	MGI:97631	peripheral myelin protein 22	18858	Chr11 38.99 cM		0.42
OMIM:176500	ITM2B-related cerebral amyloid angiopathy 1	No	MGI:2442184	folliculin	216805	Chr11 37.79 cM		0.41
OMIM:176500	ITM2B-related cerebral amyloid angiopathy 1	No	MGI:2442827	TBC1 domain family, member 32	544696	Chr10 28.45 cM		0.4
OMIM:176500	ITM2B-related cerebral amyloid angiopathy 1	No	MGI:99460	notch 3	18131	Chr17 17.37 cM		0.39
OMIM:176500	ITM2B-related cerebral amyloid angiopathy 1	No	MGI:5644513					0.37
OMIM:176500	ITM2B-related cerebral amyloid angiopathy 1	No	MGI:1918882	sodium channel, voltage-gated, type III, beta	235281	Chr9 21.42 cM		0.35
OMIM:176670	progeria	No	MGI:3653212					0.83
OMIM:176670	progeria	No	MGI:5441744					0.81
OMIM:176670	progeria	No	MGI:3802582					0.78
OMIM:176670	progeria	No	MGI:3834664					0.77
OMIM:176670	progeria	No	MGI:88127	beta-2 microglobulin	12010	Chr2 60.55 cM		0.76
